mean_test_score,param_estimator__n_estimators,param_estimator__learning_rate,param_estimator__estimator__max_depth,param_estimator__estimator__min_samples_split,param_estimator__estimator__min_samples_leaf,param_estimator__algorithm
0.8573836924036495,154,0.21892527128216444,8,8,9,SAMME
0.8404290344329481,66,0.5348793493196706,9,19,4,SAMME
0.8548215658578912,163,0.023763498182367167,9,10,2,SAMME
0.8472530066238899,74,0.1111999664226395,3,16,6,SAMME
0.848620525246363,229,0.6422500474336277,5,15,6,SAMME
0.8445903148460152,143,0.3990308404588032,9,5,2,SAMME
0.8579517257195006,199,0.15319315150559443,8,18,4,SAMME
0.8544797572732683,63,0.04447541043186938,9,17,5,SAMME
0.8592797266253818,103,0.05782684919514927,7,9,9,SAMME
0.8583050418843932,119,0.1436576217629986,8,7,8,SAMME
0.845527642951734,68,0.012898208672190986,7,2,10,SAMME
0.8589091111832353,63,0.14854634853534943,7,2,6,SAMME
0.8180430948172125,127,0.01013376821679001,1,6,7,SAMME
0.8046073194321963,190,0.989511829599615,1,13,9,SAMME
0.8336046442302291,50,0.01,10,2,10,SAMME
0.8465864272688467,182,0.01,4,2,4,SAMME
0.8577075947079973,53,0.057840980339438325,6,2,10,SAMME
0.857017537096311,300,0.09037825985970889,5,2,10,SAMME
0.8312284690806594,300,1.0,7,2,10,SAMME
0.8482591687120516,65,0.03497809424564084,4,4,9,SAMME
0.8567339967856075,50,0.23056536365479624,5,2,10,SAMME
0.8601872472581465,300,0.03741491618018878,6,20,1,SAMME
0.8417359578499977,65,0.010490357407435041,7,17,1,SAMME
0.8576015352971773,300,0.01,7,2,10,SAMME
0.8586713407915803,300,0.03678910629811476,8,2,10,SAMME
0.8386841582282777,300,0.03222535159519397,2,20,7,SAMME
0.8598868403999484,172,0.1757991134952235,6,20,10,SAMME
0.8583076504987499,300,0.018856508120845872,6,2,1,SAMME
0.8509433407504053,294,0.01062199224288594,10,13,2,SAMME
0.8603157112701407,183,0.08285438133585461,6,2,1,SAMME
0.8542470008490248,300,0.08625544276959062,10,5,10,SAMME
0.8596367544533621,191,0.06927818214182045,7,20,10,SAMME
0.8596696865181631,132,0.12405656918432986,6,20,1,SAMME
0.8597617374944473,207,0.04080337829601711,6,2,1,SAMME
0.8396713838357698,50,0.9857356774508215,5,13,10,SAMME
0.8528065359459924,52,0.12925230679595634,10,16,3,SAMME
0.8472386749720979,300,0.24108749356990344,3,15,4,SAMME
0.8583443017339463,294,0.24836210490438523,6,6,1,SAMME
0.8572393221406296,143,0.23953961012188996,6,20,1,SAMME
0.8512156627199368,286,0.04504121087020284,10,3,1,SAMME
0.8593785749543776,300,0.14655992896851322,7,2,10,SAMME
0.8571178472333377,300,0.018748245844781505,8,20,10,SAMME
0.8601718042967328,243,0.05396164661861416,7,2,10,SAMME
0.8598180152345766,188,0.11316021701997703,7,2,10,SAMME
0.8490363968416045,296,0.3134758465905761,10,17,7,SAMME
0.860491293298845,300,0.048665356824415335,7,2,1,SAMME
0.8298998244997531,62,0.33619696854487624,1,19,2,SAMME
0.8500958419827687,300,0.012937903358906443,4,14,10,SAMME
0.8298636753282379,298,0.10184792280923294,1,12,3,SAMME
0.824025531549497,233,0.9800189603777545,10,16,10,SAMME
0.8262854021532032,51,0.04517709147651443,1,10,2,SAMME
0.8600958465217585,278,0.03471789927938976,7,2,1,SAMME
0.8599637359359715,300,0.053358134213642314,6,2,1,SAMME
0.8552065840710341,297,0.3699890305056301,7,11,10,SAMME
0.8530621063328925,57,0.0259474799030009,7,4,1,SAMME
0.8530867005408904,56,0.42881626179013005,6,19,10,SAMME
0.8603743567793192,258,0.048111279038202344,7,20,1,SAMME
0.8599262370222103,123,0.10476591904539159,6,2,10,SAMME
0.8601815209832177,226,0.05197011536833738,7,2,1,SAMME
0.8316303604270757,297,0.011012105668220392,2,8,2,SAMME
0.8601050069401982,300,0.041932856152563244,7,20,10,SAMME
0.841708752423265,55,0.5014943076949218,3,20,10,SAMME
0.8527038148150513,185,0.17242322607838498,10,7,10,SAMME
0.8519599996979217,196,0.2956813732416324,4,3,10,SAMME
0.8543681496012574,273,0.045084672189813255,10,19,9,SAMME
0.859409380594238,300,0.1008667917668475,6,15,10,SAMME
0.8575321221857377,197,0.017423835178890595,6,16,9,SAMME
0.8601935957568333,300,0.08837713393506316,7,20,1,SAMME
0.8597605531234107,248,0.11028317795398578,6,20,1,SAMME
0.8601967179932537,300,0.0553341030772339,7,20,5,SAMME
0.8564348790202423,238,0.010087687992093003,8,18,1,SAMME
0.8589615118968059,50,0.11410395577183119,7,20,10,SAMME
0.8596321497577929,274,0.050518623928490096,7,20,1,SAMME
0.8581096047855198,53,0.10636285466589943,5,6,1,SAMME
0.8598629065397322,122,0.07542210726735518,7,2,1,SAMME
0.8512232733057019,203,0.010236121445331271,10,8,9,SAMME
0.8602877776084801,254,0.033084131924561555,7,2,10,SAMME
0.8597343267811078,264,0.04080635565991021,6,2,1,SAMME
0.8541932968886187,136,0.06118674151072121,10,10,10,SAMME
0.8488489306188912,184,0.06534569850731167,3,3,1,SAMME
0.8512795039172939,52,0.3457156947676578,4,15,1,SAMME
0.8596365564664297,139,0.0687919304122818,6,2,1,SAMME
0.8205023082777105,52,0.010257223446655788,3,9,4,SAMME
0.8299776072585463,297,0.9892653746061845,3,18,9,SAMME
0.8544700387361356,296,0.31852013455140815,5,9,10,SAMME
0.8523973303466372,209,0.033125217217269916,4,16,10,SAMME
0.8587130430491255,237,0.1896970749691518,7,20,10,SAMME
0.8497998925313605,51,0.24951870820776326,10,5,10,SAMME
0.8597551425668642,208,0.034791682344482,7,2,10,SAMME
0.8559737995001517,248,0.010083540057313739,6,18,7,SAMME
0.8599092167123832,300,0.042681374713344176,7,2,10,SAMME
0.8593533761877031,146,0.119181375096274,7,2,10,SAMME
0.8599462132332814,300,0.07373546333564505,7,20,10,SAMME
0.7945788852816925,51,0.9347377973840717,1,9,4,SAMME
0.8592230596646419,300,0.07889540478829454,6,2,1,SAMME
0.859983777903562,258,0.03637023436894791,7,20,1,SAMME
0.8191245220105816,51,0.9238728556969984,10,9,2,SAMME
0.8293215425814087,299,0.45456480631586993,1,11,9,SAMME
0.8597530226210767,300,0.03498991468684327,6,2,10,SAMME
0.8484409605617934,51,0.03066734186525496,10,17,7,SAMME
